amount,payment_method,error_source,error_step,error_reason,hour_of_day,day_of_week,previous_attempts,recovered_within_24h
38455,upi,customer,payment_authorization,insufficient_funds,0,6,2,0
251269,wallet,customer,payment_authentication,incorrect_pin,17,5,2,1
285386,netbanking,customer,payment_authentication,expired_card,5,2,3,0
366466,card,gateway,payment_processing,payment_timed_out,17,0,4,1
286522,card,gateway,payment_processing,payment_timed_out,13,1,2,0
94924,wallet,unknown,unknown,unknown,4,1,4,0
184043,upi,bank,payment_processing,bank_unavailable,11,2,4,0
222451,netbanking,gateway,payment_processing,payment_timed_out,0,6,1,1
491988,upi,gateway,payment_processing,payment_timed_out,16,0,5,0
266733,upi,customer,payment_authorization,insufficient_funds,7,4,1,0
317854,netbanking,unknown,unknown,unknown,9,2,4,0
368047,wallet,customer,payment_authentication,incorrect_pin,3,0,3,1
181757,netbanking,customer,payment_authentication,expired_card,8,4,4,0
482263,wallet,unknown,unknown,unknown,9,4,4,0
337780,netbanking,customer,payment_authentication,expired_card,5,6,4,0
424290,wallet,unknown,unknown,unknown,23,3,4,1
374862,netbanking,customer,payment_authentication,incorrect_pin,6,2,5,1
311138,upi,customer,payment_authentication,expired_card,4,5,4,1
16407,wallet,gateway,payment_processing,payment_timed_out,13,1,5,0
292237,card,customer,payment_authentication,expired_card,7,4,3,0
65625,netbanking,unknown,unknown,unknown,10,6,2,1
301990,card,bank,payment_processing,bank_unavailable,17,0,2,0
350998,upi,gateway,payment_processing,payment_timed_out,1,6,4,1
273044,wallet,bank,payment_processing,bank_unavailable,12,1,3,1
154912,wallet,unknown,unknown,unknown,0,3,1,1
30622,netbanking,customer,payment_authentication,incorrect_pin,1,1,2,0
335855,card,customer,payment_authorization,insufficient_funds,2,1,5,0
349450,wallet,customer,payment_authentication,incorrect_pin,3,4,4,1
239489,netbanking,gateway,payment_processing,payment_timed_out,8,3,4,1
358452,card,customer,payment_authorization,insufficient_funds,22,3,1,0
389779,card,customer,payment_authorization,insufficient_funds,21,3,1,1
256728,upi,unknown,unknown,unknown,2,5,2,0
24790,upi,bank,payment_processing,bank_unavailable,23,6,5,0
435324,netbanking,customer,payment_authentication,incorrect_pin,15,3,3,1
233902,wallet,customer,payment_authentication,incorrect_pin,13,1,4,0
336546,upi,customer,payment_authorization,insufficient_funds,19,2,3,0
455548,wallet,unknown,unknown,unknown,11,3,3,1
181970,wallet,customer,payment_authentication,expired_card,6,0,4,0
311375,card,unknown,unknown,unknown,12,1,5,0
10827,netbanking,customer,payment_authorization,insufficient_funds,17,1,3,1
442640,upi,bank,payment_processing,bank_unavailable,16,6,3,1
30521,wallet,customer,payment_authentication,incorrect_pin,4,2,5,0
271021,netbanking,bank,payment_processing,bank_unavailable,22,6,2,1
176547,card,customer,payment_authentication,expired_card,6,3,5,0
18858,upi,gateway,payment_processing,payment_timed_out,19,3,3,1
231591,wallet,bank,payment_processing,bank_unavailable,7,6,5,1
467862,card,gateway,payment_processing,payment_timed_out,1,4,3,0
84268,wallet,customer,payment_authentication,expired_card,23,1,4,0
146843,netbanking,customer,payment_authorization,insufficient_funds,14,1,2,0
95475,wallet,unknown,unknown,unknown,5,4,4,1
63361,wallet,bank,payment_processing,bank_unavailable,0,0,2,0
115875,upi,customer,payment_authentication,incorrect_pin,3,1,4,0
286345,card,unknown,unknown,unknown,4,0,4,0
390476,card,unknown,unknown,unknown,22,4,3,0
345464,card,customer,payment_authentication,incorrect_pin,4,3,3,0
385873,upi,unknown,unknown,unknown,3,0,2,1
358085,netbanking,unknown,unknown,unknown,20,5,4,0
192086,upi,gateway,payment_processing,payment_timed_out,21,4,3,1
450223,netbanking,customer,payment_authorization,insufficient_funds,5,5,3,1
87009,netbanking,customer,payment_authentication,expired_card,15,1,1,0
350188,wallet,customer,payment_authentication,expired_card,12,6,1,0
56343,netbanking,customer,payment_authentication,expired_card,13,1,1,1
383029,card,customer,payment_authentication,expired_card,7,3,5,0
44477,wallet,customer,payment_authentication,expired_card,18,3,5,0
108875,card,customer,payment_authentication,expired_card,21,1,1,0
196248,card,gateway,payment_processing,payment_timed_out,17,2,1,1
347540,wallet,customer,payment_authentication,expired_card,21,0,4,0
23725,card,customer,payment_authentication,incorrect_pin,2,3,3,0
129420,upi,customer,payment_authentication,incorrect_pin,15,4,2,1
167484,card,unknown,unknown,unknown,23,2,4,0
365780,wallet,unknown,unknown,unknown,12,3,2,0
480806,upi,customer,payment_authentication,expired_card,22,6,1,1
307470,card,customer,payment_authorization,insufficient_funds,8,1,2,0
254245,upi,gateway,payment_processing,payment_timed_out,21,2,5,0
168803,netbanking,customer,payment_authentication,incorrect_pin,22,0,4,1
411500,card,bank,payment_processing,bank_unavailable,14,3,1,0
54515,card,customer,payment_authorization,insufficient_funds,16,1,3,0
65503,upi,customer,payment_authentication,incorrect_pin,12,5,5,0
101390,netbanking,gateway,payment_processing,payment_timed_out,7,2,5,0
134771,netbanking,customer,payment_authentication,expired_card,12,4,4,0
231336,wallet,customer,payment_authorization,insufficient_funds,23,1,1,0
473327,card,customer,payment_authentication,expired_card,0,2,2,0
325547,upi,customer,payment_authentication,incorrect_pin,4,1,2,1
192392,wallet,bank,payment_processing,bank_unavailable,11,3,1,0
106548,netbanking,customer,payment_authentication,expired_card,8,0,1,0
324555,netbanking,bank,payment_processing,bank_unavailable,14,0,2,0
127315,upi,gateway,payment_processing,payment_timed_out,8,3,3,0
488088,card,customer,payment_authorization,insufficient_funds,15,3,2,1
239385,wallet,customer,payment_authentication,incorrect_pin,2,2,3,1
275843,wallet,customer,payment_authentication,expired_card,7,3,2,0
451846,card,unknown,unknown,unknown,16,2,1,0
153367,wallet,bank,payment_processing,bank_unavailable,11,5,5,1
236430,wallet,customer,payment_authentication,incorrect_pin,17,3,3,1
266442,card,unknown,unknown,unknown,15,5,2,1
136266,wallet,bank,payment_processing,bank_unavailable,7,1,5,0
28264,card,customer,payment_authorization,insufficient_funds,10,1,5,1
142589,upi,customer,payment_authentication,expired_card,23,2,5,0
57072,netbanking,customer,payment_authorization,insufficient_funds,23,0,1,0
338165,netbanking,unknown,unknown,unknown,0,4,4,0
4578,upi,customer,payment_authorization,insufficient_funds,16,2,5,0
158930,wallet,customer,payment_authentication,expired_card,11,2,5,0
442221,upi,customer,payment_authentication,expired_card,0,3,2,0
284740,wallet,customer,payment_authorization,insufficient_funds,15,0,5,0
335969,upi,bank,payment_processing,bank_unavailable,0,2,3,1
334589,wallet,customer,payment_authentication,incorrect_pin,7,6,3,1
149866,wallet,customer,payment_authentication,expired_card,16,4,3,0
316528,wallet,gateway,payment_processing,payment_timed_out,19,4,4,0
111359,netbanking,unknown,unknown,unknown,9,3,1,0
318115,card,customer,payment_authorization,insufficient_funds,19,3,3,0
341855,netbanking,customer,payment_authorization,insufficient_funds,20,6,5,1
438195,card,customer,payment_authentication,expired_card,10,6,3,0
459847,wallet,gateway,payment_processing,payment_timed_out,4,2,2,0
12966,netbanking,unknown,unknown,unknown,15,6,1,1
150270,card,customer,payment_authentication,incorrect_pin,0,0,3,0
274010,netbanking,customer,payment_authorization,insufficient_funds,21,2,4,0
161458,netbanking,customer,payment_authorization,insufficient_funds,9,2,3,0
309671,upi,customer,payment_authorization,insufficient_funds,18,4,5,0
427266,upi,bank,payment_processing,bank_unavailable,17,4,4,1
